chr	start	end	omim_id
chr1	859302	879954	616765
chr1	879582	894636	610770
chr1	895963	901099	619262
chr1	901861	911245	621052
chr1	910577	917473	615921
chr1	934343	935477	608060
chr1	948876	949920	147571
chr1	955499	991496	103320
chr1	1102483	1102578	612091
chr1	1103242	1103332	612090
chr1	1104384	1104467	612094
chr1	1138887	1141972	603905
chr1	1146719	1149533	600315
chr1	1152310	1167381	614282
chr1	1167616	1170421	615291
chr1	1177832	1182102	616593
chr1	1189291	1209234	619756
chr1	1215815	1227405	601328
chr1	1246979	1260040	611354
chr1	1260181	1264276	615467
chr1	1266659	1270694	605865
chr1	1270657	1284798	601365
chr1	1288070	1298921	617293
chr1	1309115	1310587	609183
chr1	1321090	1334715	613482
chr1	1337288	1342673	611833
chr1	1371069	1378262	611901
chr1	1385068	1405543	617227
chr1	1407144	1433228	612317
chr1	1447541	1470065	612316
chr1	1470157	1476004	616101
chr1	1477052	1510243	617680
chr1	1550879	1565985	611141
chr1	1567551	1570030	603321
chr1	1570602	1590465	176873
chr1	1592938	1624234	619315
chr1	1631377	1633247	603320
chr1	1633817	1655796	116951
chr1	1682670	1711470	611616
chr1	1716724	1822526	139380
chr1	1846698	1848735	610171
chr1	1853395	1935225	620187
chr1	1950783	1962197	137163
chr1	1981849	2116834	176982
chr1	2115915	2139172	615183
chr1	2159757	2241652	164780
chr1	2323279	2336875	620048
chr1	2335412	2345266	602859
chr1	2398889	2436971	612836
chr1	2439975	2458035	606162
chr1	2460183	2461702	607348
chr1	2487809	2495268	602746
chr1	2517961	2522907	621349
chr1	2522077	2564455	618104
chr1	2938030	2939467	608535
chr1	2985766	3355185	605557
chr1	3371228	3397677	618871
chr1	3404514	3528072	604266
chr1	3477258	3477354	615148
chr1	3541578	3546691	611460
chr1	3547333	3566667	606040
chr1	3569079	3652765	601990
chr1	3689312	3692520	615242
chr1	3695122	3713062	619154
chr1	3728649	3773775	616690
chr1	3774039	3801993	601883
chr1	4714668	4852594	610972
chr1	5922870	6052485	607215
chr1	6052735	6161240	601142
chr1	6161846	6240381	610771
chr1	6245079	6259655	180474
chr1	6266178	6281359	616923
chr1	6281252	6296024	605851
chr1	6304238	6305638	609971
chr1	6307412	6321158	614269
chr1	6324331	6453827	602587
chr1	6475291	6479979	609970
chr1	6484835	6521004	606351
chr1	6520845	6526233	603366
chr1	6527181	6580152	611101
chr1	6581406	6614573	620304
chr1	6615366	6639815	606225
chr1	6640053	6649340	165270
chr1	6650783	6662929	616262
chr1	6673790	6684090	620054
chr1	6685242	6695655	612532
chr1	6694229	6761876	614827
chr1	6845513	7829766	611501
chr1	7831355	7841492	603657
chr1	7844350	7905237	603427
chr1	7907671	7913551	604097
chr1	7975930	8000899	602250
chr1	8021770	8045565	602533
chr1	8071786	8086369	608069
chr1	8378173	8404225	605763
chr1	8412463	8877699	605226
chr1	8921058	8938745	172430
chr1	9005926	9035151	114780
chr1	9063031	9086482	610371
chr1	9095164	9132318	138230
chr1	9160363	9189161	620860
chr1	9211726	9211836	611172
chr1	9294832	9331396	138090
chr1	9352952	9429591	611657
chr1	9599523	9645231	610816
chr1	9711788	9789172	602839
chr1	9789078	9884584	611321
chr1	9908333	9970327	607758
chr1	9982175	10003449	610458
chr1	10002980	10045556	608700
chr1	10057285	10076079	608604
